pincode,place_name,state_name,latitude,longitude
124509,Tandaheri,Haryana,28.7299,76.8417
124510,Matan,Haryana,29.0333,76.4167
124511,Kharhar,Haryana,29.0333,76.4167
124513,Nidana,Haryana,29.0333,76.4167
124514,Lakhan Majra,Haryana,29.0333,76.4167
124515,Nigana,Haryana,29.0333,76.4167
124516,Gorawar,Haryana,29.0333,76.4167
124517,Ismaila,Haryana,29.0333,76.4167
124518,Barain,Haryana,29.0333,76.4167
124519,Bainsi,Haryana,29.0333,76.4167
124520,Farmana (Rohtak),Haryana,28.831,76.7
124521,Atail,Haryana,28.831,76.7
124522,Ajaib,Haryana,28.831,76.7
124523,Chandi,Haryana,28.831,76.7
124524,Chiri,Haryana,28.831,76.7
124525,Barahi,Haryana,28.831,76.7
124527,Chaushala,Haryana,28.831,76.7
124528,Dulhera,Haryana,28.831,76.7
124529,Gandhra,Haryana,28.831,76.7
124530,Kanaunda,Haryana,28.831,76.7
124531,Nilauthi,Haryana,28.831,76.7
124532,Rohna,Haryana,28.831,76.7
124533,Kharainti,Haryana,28.831,76.7
125001,Hissar City,Haryana,29.1118,75.7598
125002,Hissar Textile Mills,Haryana,29.1118,75.7598
125003,Patel Nagar Hissar,Haryana,29.1118,75.7598
125004,Hissar Agricultural Unive,Haryana,29.1118,75.7598
125005,Model Town Hissar,Haryana,29.1118,75.7598
125011,Hissar B S F,Haryana,29.1118,75.7598
125012,Arya Nagar Hissar,Haryana,29.1118,75.7598
125024,Dinod,Haryana,28.8,76.075
125025,Devsar,Haryana,28.8,76.075
125026,Bapora,Haryana,28.8,76.075
125027,Chang,Haryana,28.8833,76.25
125028,Behal,Haryana,28.8,76.075
125029,Kairu,Haryana,28.7167,75.9
125030,Jui Khurd,Haryana,28.65,75.95
125031,Tigrana,Haryana,28.9833,76.0083
125032,Bawani Khera,Haryana,28.9833,76.0083
125033,Hansi,Haryana,29.1,75.9667
125034,Road Hansi,Haryana,28.9833,76.0083
125035,Jamalpur,Haryana,28.9667,75.9667
125036,Deorala,Haryana,28.9833,76.0083
125037,Nalwa,Haryana,28.9833,76.0083
125038,Khanda Khuri,Haryana,28.9833,76.0083
125039,Narnaund,Haryana,29.2167,76.15
125040,Tosham,Haryana,28.8833,75.9167
125041,Mundal Khurd,Haryana,29.1167,75.725
125042,Bass,Haryana,29.1167,75.725
125043,Rodhan,Haryana,29.1167,75.725
125044,Satrod Khurd,Haryana,29.1167,75.725
125045,Barwa,Haryana,28.9667,75.6167
125046,Sewani,Haryana,28.9167,75.6167
125047,Agroha,Haryana,29.3333,75.6333
125048,Badopal,Haryana,29.4167,75.55
125049,Sisai,Haryana,29.1833,76.0167
125050,Fatehabad (Hissar),Haryana,29.5333,75.0167
125051,Rattia,Haryana,29.5333,75.0167
125052,Mandi Adampur,Haryana,29.5333,75.0167
125054,Bahudin,Haryana,29.5333,75.0167
125055,Sirsa Town,Haryana,29.5333,75.0167
125056,Sirsa,Haryana,29.5333,75.0167
125057,Khairpur,Haryana,29.5333,75.0167
125058,Ding,Haryana,29.5333,75.0167
125060,Sikanderpur,Haryana,28.9333,76.1667
125061,Bamla,Haryana,28.9333,76.1667
125062,Dhanana,Haryana,28.9333,76.1667
125063,Dhani (Mahu),Haryana,28.9333,76.1667
125064,Dhigwan Jatan,Haryana,28.9333,76.1667
125065,Lohni,Haryana,28.9333,76.1667
125066,Mehnda,Haryana,28.9333,76.1667
